"Content:","Emissions by country and main source category" 
"Compound:","CH4"
"Year: ","2002"
"Unit:","Gg CH4"
"Source:","European Commission, Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR), release version 4.2. http://edgar.jrc.ec.europe.eu, 2010" 
"Dataset:","v4.2_EM_CH4_300911(edgar)"
"Date calculated:","November 30, 1999, 12:00 am"

,,,"Public electricity and heat production","Other Energy Industries","Manufacturing Industries and Construction","Domestic aviation","Road transportation","Rail transportation","Inland navigation","Other transportation","Residential and other sectors","Fugitive emissions from solid fuels","Fugitive emissions from oil and gas","Memo: International aviation","Memo: International navigation","Cement production","Lime production","Production of other minerals","Production of chemicals","Production of metals","Production of pulp/paper/food/drink","Production of halocarbons and SF6","Refrigeration and Air Conditioning","Foam Blowing","Fire Extinguishers","Aerosols","F-gas as Solvent","Semiconductor/Electronics Manufacture","Electrical Equipment","Other F-gas use","Non-energy use of lubricants/waxes (CO2)","Solvent and other product use: paint","Solvent and other product use: degrease","Solvent and other product use: chemicals","Solvent and other product use: other","Enteric fermentation","Manure management","Rice cultivation","Direct soil emissions","Manure in pasture/range/paddock","Indirect N2O from agriculture","Other direct soil emissions","Savanna burning","Agricultural waste burning","Forest fires","Grassland fires","Peat fires and decay of drained peatland","Other vegetation fires","Other biomass burning","Forest Fires-Post burn decay","Forest Land: net carbon stock change","Solid waste disposal on land","Wastewater handling","Waste incineration","Other waste handling","Fossil fuel fires","Indirect N2O from non-agricultural NOx","Indirect N2O from non-agricultural NH3","Other sources",

"World Region","ISO_A3","Country","1A1a","1A1bc","1A2","1A3a","1A3b","1A3c","1A3d","1A3e","1A4","1B1","1B2","1C1","1C2","2A1","2A2","2A7","2B","2C","2D","2E","2F1","2F2","2F3","2F4","2F5","2F7","2F8","2F9","2G","3A","3B","3C","3D","4A","4B","4C","4D1","4D2","4D3","4D4","4E","4F","5A","5C","5D","5F","5F1","5F2","5FL","6A","6B","6C","6D","7A","7B","7C","7D","TOTAL" 
"Canada","CAN","Canada",3.99804e+0,2.41221e+0,1.19575e+1,8.92221e-2,1.02585e+1,2.90736e-1,4.67575e-1,1.91778e-1,4.51708e+1,8.90128e+1,2.14288e+3,0,0,0,0,0,4.97015e+0,1.40030e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80793e+2,2.73515e+2,0,0,0,0,0,0,5.91480e+0,1.49083e+2,7.23576e+1,0,0,0,0,0,1.17399e+3,2.07174e+2,8.39109e-1,1.11118e+1,0,0,0,0,5.08662e+3
"USA","SPM","Saint Pierre and Miquelon",0,0,6.16614e-3,0,0,0,8.20400e-5,1.24847e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52375e-3,2.15087e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06772e-2,1.23649e-2,8.96019e-4,5.51396e-4,0,0,0,0,7.65372e-2
"USA","UMI","United States Minor Outlying Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"USA","USA","United States",6.32568e+1,8.57603e+0,5.12194e+1,1.44568e+0,1.18980e+2,1.74632e+0,9.29881e-1,7.84586e-1,2.28460e+2,3.77941e+3,6.85539e+3,0,0,0,0,0,2.93623e+1,1.00926e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40459e+3,2.08050e+3,3.52177e+2,0,0,0,0,1.44470e+0,3.12613e+1,9.77376e+1,3.79056e+1,0,0,0,0,0,5.14764e+3,8.67818e+2,0,6.03660e+1,1.50000e+1,0,0,0,2.62370e+4
"Mexico","MEX","Mexico",2.16583e+0,1.47087e+0,3.20382e+0,3.76200e-4,2.05471e+1,9.36738e-2,2.26180e-1,0,7.71113e+1,3.62524e+1,1.59299e+3,0,0,0,0,0,1.48476e+0,1.97175e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25778e+3,2.22441e+2,5.99240e+0,0,0,0,0,4.82016e+1,3.15552e+1,1.11244e+2,2.15390e-1,0,0,0,0,0,4.32305e+2,4.94208e+2,0,0,0,0,0,0,5.33969e+3
"Rest Central America","ABW","Aruba",1.61115e-3,0,9.32616e-3,0,8.96082e-3,0,0,8.83479e-8,1.62046e-2,1.17180e-2,2.67822e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39370e-2,4.18740e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33717e-1,3.77704e-1,0,0,0,0,0,0,9.00045e-1
"Rest Central America","AIA","Anguilla",1.96710e-4,0,1.13874e-3,0,0,0,0,0,1.00721e-4,9.78670e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73507e-3,4.10861e-2,0,0,0,0,0,0,1.50124e-1
"Rest Central America","ANT","Netherlands Antilles",0,6.62182e-2,1.61766e-2,8.16426e-4,8.76287e-2,0,0,0,3.20083e-2,2.17620e-2,2.60520e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73395e-1,8.11500e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60147e+0,7.71449e-1,0,0,0,0,0,0,5.38424e+0
