country_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1.47,1.47,1.51,1.47,1.90,1.69,1.61,1.87,1.61,1.74,1.72,2.03,1.96,2.64,2.65,3.35,3.13,2.77,2.66,2.53,2.55,2.46,1.69,1.54,1.28,1.14,1.16,1.15,1.16,1.11,1.09,0.97,0.84,0.66,0.76,1.06,1.16,1.20,2.71,4.25,5.64,6.92,9.66,16.30,10.32,9.79,10.75,11.42
Albania,4.38,4.37,4.95,4.54,4.74,4.89,5.26,5.54,6.47,7.59,7.69,6.70,6.92,7.42,8.03,7.66,7.74,8.01,7.95,7.82,6.58,4.39,2.38,2.24,2.38,2.11,2.10,1.63,1.95,3.12,3.26,3.47,4.02,4.23,4.42,4.20,4.15,4.26,4.22,4.31,4.59,4.99,4.54,4.55,4.93,4.69,4.94,5.03
Algeria,17.17,19.94,29.94,40.03,34.38,31.75,40.85,45.25,50.35,51.44,51.67,49.83,52.45,55.24,57.60,65.47,68.84,66.61,67.63,67.90,65.68,69.81,76.34,76.84,77.71,80.30,79.19,77.63,77.77,81.00,83.69,82.10,86.57,93.00,92.66,98.20,103.35,105.98,110.82,114.19,116.41,122.78,137.14,140.79,151.33,160.37,159.92,159.93
Angola,3.56,3.49,4.57,4.70,4.88,4.46,3.36,4.16,5.53,5.50,5.57,5.20,4.82,5.01,4.97,5.63,5.69,5.78,6.20,6.30,5.85,6.06,6.07,6.29,11.57,13.04,15.77,16.50,17.14,18.13,16.61,16.29,16.03,17.45,17.50,15.98,16.73,17.24,19.49,21.32,23.81,24.77,23.72,25.97,28.16,30.82,32.11,30.88
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Antigua and Barbuda,0.12,0.12,0.14,0.15,0.13,0.16,0.14,0.16,0.16,0.15,0.15,0.13,0.18,0.10,0.14,0.16,0.17,0.22,0.23,0.22,0.22,0.24,0.24,0.23,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.27,0.28,0.28,0.27,0.28,0.29,0.34,0.36,0.35,0.62,0.64,0.57,0.62,0.62,0.62
Argentina,91.08,91.56,92.63,97.08,96.87,95.50,101.54,105.10,107.05,112.65,109.81,106.62,105.15,106.85,106.56,100.19,110.36,115.14,121.36,119.31,112.43,115.75,119.33,119.73,124.00,127.94,135.63,143.15,147.23,152.26,150.59,140.96,133.10,145.95,162.28,165.43,176.20,183.94,196.01,185.98,191.34,199.44,205.40,201.90,209.98,212.41,212.29,209.97
Armenia,10.92,10.94,11.75,12.81,13.86,15.24,15.75,16.34,16.95,17.61,18.72,19.12,19.64,19.73,19.82,20.06,20.20,20.45,20.46,20.10,20.70,21.56,11.00,5.18,2.88,3.62,2.68,3.43,3.56,3.20,3.66,3.73,3.20,3.57,3.83,4.54,4.58,5.28,5.79,4.65,4.46,5.08,5.87,5.55,5.53,5.01,5.08,4.83
Aruba,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.23,0.26,0.30,0.36,0.36,0.38,0.37,0.44,0.30,0.46,0.45,0.48,0.45,0.48,0.48,0.48,0.53,0.47,0.49,0.44,0.45,0.47,0.50,0.46,0.80,1.02,0.96,0.96,0.96,0.96
Australia,160.96,162.27,168.16,177.81,187.02,193.87,196.67,209.90,206.40,212.17,222.38,223.30,229.60,216.12,222.53,236.70,237.28,248.58,257.10,271.96,275.41,277.12,280.90,285.07,292.46,302.51,313.12,322.05,342.84,347.95,353.81,360.37,368.44,372.48,386.60,391.59,397.99,408.47,411.63,417.08,412.84,410.40,409.89,405.45,396.19,403.26,402.47,402.25
