Content:,Emissions by country and main source category ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound:,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year: ,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,Gg CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"European Commission, Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR), release version 4.2. http://edgar.jrc.ec.europe.eu, 2010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset:,v4.2_EM_CH4_300911(edgar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date calculated:,"November 30, 1999, 12:00 am",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public electricity and heat production,Other Energy Industries,Manufacturing Industries and Construction,Domestic aviation,Road transportation,Rail transportation,Inland navigation,Other transportation,Residential and other sectors,Fugitive emissions from solid fuels,Fugitive emissions from oil and gas,Memo: International aviation,Memo: International navigation,Cement production,Lime production,Production of other minerals,Production of chemicals,Production of metals,Production of pulp/paper/food/drink,Production of halocarbons and SF6,Refrigeration and Air Conditioning,Foam Blowing,Fire Extinguishers,Aerosols,F-gas as Solvent,Semiconductor/Electronics Manufacture,Electrical Equipment,Other F-gas use,Non-energy use of lubricants/waxes (CO2),Solvent and other product use: paint,Solvent and other product use: degrease,Solvent and other product use: chemicals,Solvent and other product use: other,Enteric fermentation,Manure management,Rice cultivation,Direct soil emissions,Manure in pasture/range/paddock,Indirect N2O from agriculture,Other direct soil emissions,Savanna burning,Agricultural waste burning,Forest fires,Grassland fires,Peat fires and decay of drained peatland,Other vegetation fires,Other biomass burning,Forest Fires-Post burn decay,Forest Land: net carbon stock change,Solid waste disposal on land,Wastewater handling,Waste incineration,Other waste handling,Fossil fuel fires,Indirect N2O from non-agricultural NOx,Indirect N2O from non-agricultural NH3,Other sources,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
Canada,CAN,Canada,3.87E+00,2.52E+00,1.20E+01,1.12E-01,8.98E+00,3.55E-01,4.98E-01,1.34E-01,5.70E+01,9.38E+01,1.98E+03,0,0,0,0,0,3.51E+00,1.34E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09E+03,2.79E+02,0,0,0,0,0,0,7.94E+00,1.03E+01,2.33E+00,0,0,0,0,0,1.36E+03,2.11E+02,2.33E-01,1.38E+01,0,0,0,0,5.14E+03,
USA,SPM,Saint Pierre and Miquelon,0,0,6.25E-03,0,0,0,5.35E-05,1.23E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-03,2.62E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35E-02,1.29E-02,9.27E-04,5.71E-04,0,0,0,0,8.07E-02,
USA,UMI,United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USA,USA,United States,5.57E+01,8.72E+00,5.85E+01,1.18E+00,9.89E+01,1.75E+00,1.04E+00,7.51E-01,3.01E+02,4.14E+03,5.79E+03,0,0,0,0,0,2.40E+01,7.64E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72E+03,2.20E+03,4.18E+02,0,0,0,0,3.86E-01,3.81E+01,8.11E+00,9.29E+00,0,0,0,0,0,5.23E+03,8.87E+02,0,8.29E+01,1.50E+01,0,0,0,2.61E+04,
Mexico,MEX,Mexico,3.70E+00,2.02E+00,3.75E+00,4.60E-04,2.01E+01,1.00E-01,2.60E-01,0,7.61E+01,4.45E+01,1.73E+03,0,0,0,0,0,6.65E+00,2.66E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E+03,2.33E+02,6.05E+00,0,0,0,0,2.29E+01,3.30E+01,3.88E+01,1.44E-01,0,0,0,0,0,4.74E+02,5.04E+02,0,0,0,0,0,0,5.51E+03,
Rest Central America,ABW,Aruba,1.73E-03,0,1.01E-02,0,7.76E-03,0,0,4.29E-07,2.50E-02,1.47E-02,6.46E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-02,4.19E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94E-01,4.37E-01,0,0,0,0,0,0,1.04E+00,
Rest Central America,AIA,Anguilla,2.13E-04,0,1.24E-03,0,0,0,0,0,1.02E-04,9.15E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26E-02,3.99E-02,0,0,0,0,0,0,1.45E-01,
Rest Central America,ANT,Netherlands Antilles,0,8.93E-02,1.78E-02,1.39E-03,7.50E-02,0,0,0,3.51E-02,2.35E-02,2.74E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85E-01,8.77E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E+00,7.89E-01,0,0,0,0,0,0,5.67E+00,
