country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.15,0.15,0.10,0.09,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.08,0.10,0.12,0.14,0.17,0.28,0.17,0.16,0.17,0.18
Albania,0.42,0.40,0.23,0.20,0.20,0.15,0.14,0.12,0.13,0.19,0.19,0.18,0.20,0.20,0.20,0.18,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15
Algeria,0.25,0.27,0.29,0.29,0.30,0.30,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.28,0.29,0.29,0.28,0.28
Angola,0.14,0.14,0.15,0.21,0.38,0.37,0.39,0.39,0.38,0.40,0.35,0.33,0.29,0.30,0.27,0.20,0.18,0.15,0.15,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.19,0.18
Anguilla,0.03,0.05,0.04,0.05,0.06,0.08,0.08,0.07,0.06,0.05,0.07,0.07,0.05,0.06,0.05,0.04,0.04,0.03,0.04,0.07,0.08,0.09,0.09,0.11,0.09,0.09,0.09,0.08
Antigua and Barbuda,0.20,0.21,0.21,0.19,0.21,0.21,0.20,0.18,0.17,0.17,0.15,0.16,0.16,0.17,0.17,0.16,0.13,0.13,0.13,0.17,0.20,0.20,0.33,0.35,0.29,0.31,0.29,0.28
Argentina,0.32,0.29,0.27,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.29,0.29,0.27,0.27,0.26,0.26,0.27,0.25,0.24,0.25,0.24,0.26,0.26,0.26,0.25
Armenia,1.56,1.84,1.62,0.83,0.44,0.52,0.36,0.45,0.43,0.38,0.41,0.38,0.29,0.28,0.27,0.28,0.25,0.26,0.26,0.25,0.23,0.25,0.27,0.25,0.24,0.21,0.21,0.19
Aruba,0.11,0.14,0.11,0.10,0.09,0.11,0.07,0.10,0.10,0.11,0.12,0.11,0.15,0.15,0.14,0.12,0.12,0.10,0.10,0.11,0.13,0.12,0.22,0.24,0.25,0.24,0.23,0.23
Australia,0.56,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.55,0.53,0.52,0.52,0.51,0.50,0.50,0.49,0.49,0.48,0.47,0.47,0.45,0.44,0.42,0.41,0.39,0.38,0.37,0.37
Austria,0.26,0.27,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.22,0.22,0.23,0.23,0.25,0.24,0.24,0.22,0.21,0.21,0.20,0.21,0.20,0.19,0.19,0.18,0.18,0.18,0.18
Azerbaijan,0.95,0.93,0.97,1.09,1.17,1.29,1.07,0.98,0.89,0.82,0.78,0.68,0.61,0.60,0.54,0.45,0.34,0.25,0.25,0.19,0.17,0.19,0.21,0.20,0.21,0.20,0.22,0.21
Bahamas,0.19,0.19,0.17,0.17,0.18,0.20,0.22,0.20,0.21,0.19,0.17,0.16,0.16,0.19,0.20,0.19,0.18,0.18,0.13,0.16,0.17,0.16,0.28,0.31,0.29,0.27,0.28,0.27
Bahrain,0.69,0.60,0.66,0.63,0.64,0.63,0.63,0.63,0.63,0.61,0.59,0.60,0.61,0.59,0.55,0.61,0.62,0.58,0.59,0.57,0.57,0.56,0.56,0.56,0.57,0.56,0.57,0.55
Bangladesh,0.10,0.09,0.10,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15
Barbados,0.21,0.23,0.23,0.22,0.20,0.20,0.18,0.20,0.22,0.23,0.40,0.53,0.52,0.56,0.48,0.49,0.46,0.45,0.47,0.50,0.51,0.50,0.61,0.67,0.66,0.68,0.66,0.65
Belarus,1.28,1.25,1.25,1.17,1.13,1.13,1.11,1.00,0.90,0.84,0.77,0.72,0.68,0.64,0.61,0.57,0.54,0.48,0.46,0.44,0.43,0.39,0.39,0.39,0.38,0.37,0.38,0.38
Belgium,0.38,0.39,0.37,0.37,0.38,0.37,0.38,0.36,0.36,0.33,0.33,0.33,0.30,0.31,0.30,0.28,0.27,0.26,0.26,0.25,0.26,0.23,0.23,0.23,0.21,0.22,0.22,0.21
Belize,0.19,0.19,0.13,0.12,0.12,0.15,0.12,0.16,0.15,0.15,0.18,0.23,0.22,0.20,0.21,0.20,0.18,0.20,0.11,0.10,0.10,0.10,0.16,0.17,0.15,0.15,0.15,0.15
Benin,0.06,0.05,0.05,0.05,0.05,0.05,0.12,0.14,0.13,0.14,0.14,0.16,0.17,0.19,0.19,0.20,0.27,0.29,0.27,0.29,0.31,0.29,0.26,0.26,0.26,0.28,0.29,0.31
Bermuda,0.14,0.14,0.10,0.11,0.11,0.10,0.12,0.11,0.10,0.10,0.09,0.07,0.08,0.08,0.09,0.08,0.07,0.10,0.06,0.09,0.10,0.10,0.18,0.12,0.11,0.12,0.12,0.11
Bhutan,0.17,0.17,0.15,0.14,0.18,0.24,0.24,0.25,0.25,0.30,0.22,0.19,0.19,0.15,0.11,0.17,0.17,0.12,0.18,0.29,0.28,0.31,0.37,0.24,0.23,0.20,0.21,0.21
Bolivia,0.25,0.24,0.26,0.29,0.32,0.27,0.25,0.26,0.24,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.24,0.25,0.26,0.26,0.28,0.29,0.30,0.29,0.29,0.28,0.28,0.27
Bosnia and Herzegovina,3.43,3.60,2.87,2.46,0.58,0.51,0.34,0.49,0.54,0.48,0.60,0.57,0.57,0.56,0.56,0.54,0.57,0.56,0.59,0.60,0.61,0.69,0.64,0.62,0.62,0.62,0.63,0.62
Botswana,0.25,0.23,0.27,0.27,0.25,0.24,0.20,0.20,0.24,0.23,0.23,0.22,0.22,0.21,0.20,0.21,0.18,0.18,0.17,0.17,0.13,0.14,0.17,0.17,0.20,0.21,0.20,0.22
Brazil,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.17
British Virgin Islands,0.14,0.13,0.14,0.11,0.07,0.06,0.06,0.04,0.06,0.06,0.04,0.04,0.03,0.04,0.06,0.05,0.04,0.09,0.09,0.09,0.11,0.09,0.21,0.18,0.19,0.19,0.19,0.18
Brunei,0.16,0.21,0.21,0.19,0.18,0.18,0.19,0.21,0.18,0.17,0.18,0.17,0.16,0.19,0.17,0.17,0.24,0.23,0.26,0.26,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.22
Bulgaria,1.02,0.85,0.87,0.89,0.86,0.84,0.85,0.81,0.73,0.70,0.66,0.67,0.59,0.63,0.57,0.55,0.52,0.52,0.47,0.41,0.43,0.47,0.43,0.38,0.40,0.40,0.36,0.38
Burkina Faso,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.10,0.09,0.08,0.09,0.09,0.11,0.11,0.11,0.10,0.10
Burundi,0.04,0.05,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04
Cambodia,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.14,0.15,0.13,0.12,0.12,0.12,0.12,0.10,0.10,0.10,0.11,0.12,0.14,0.14,0.14,0.13,0.13,0.14,0.17,0.18,0.18
Cameroon,0.20,0.20,0.20,0.25,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12
Canada,0.52,0.53,0.54,0.52,0.52,0.52,0.52,0.52,0.51,0.49,0.48,0.47,0.46,0.47,0.45,0.44,0.43,0.44,0.42,0.41,0.41,0.40,0.40,0.40,0.39,0.38,0.38,0.38
Cape Verde,0.09,0.20,0.16,0.15,0.12,0.11,0.10,0.10,0.08,0.07,0.09,0.06,0.06,0.06,0.11,0.10,0.10,0.11,0.10,0.11,0.11,0.13,0.13,0.24,0.24,0.28,0.27,0.28
Cayman Islands,0.12,0.12,0.13,0.14,0.18,0.16,0.13,0.15,0.14,0.15,0.13,0.12,0.15,0.10,0.24,0.17,0.16,0.57,0.24,0.26,0.15,0.10,0.99,0.18,1.73,1.75,1.71,1.65
Central African Republic,0.06,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.07,0.07,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.16,0.15,0.16,0.15,0.16
Chad,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04
Chile,0.27,0.24,0.23,0.23,0.24,0.24,0.25,0.27,0.26,0.28,0.25,0.23,0.22,0.22,0.23,0.22,0.21,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.23,0.22
China,1.38,1.34,1.23,1.17,1.10,1.10,0.99,0.92,0.88,0.80,0.79,0.76,0.75,0.79,0.83,0.84,0.83,0.80,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.58,0.54,0.51
Colombia,0.20,0.20,0.20,0.21,0.20,0.19,0.19,0.20,0.20,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12
Comoros,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.07,0.07,0.13,0.12,0.13,0.13,0.14,0.14,0.16,0.16,0.19,0.15,0.17,0.17,0.18
Congo,0.07,0.07,0.07,0.07,0.18,0.21,0.25,0.26,0.29,0.31,0.31,0.30,0.18,0.23,0.22,0.25,0.26,0.23,0.23,0.24,0.23,0.21,0.18,0.22,0.20,0.19,0.20,0.21
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.12,0.13,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11
Côte d’Ivoire,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.12,0.11,0.14,0.14,0.14,0.15,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.14,0.16,0.15,0.15,0.15,0.14,0.14
Croatia,0.29,0.23,0.29,0.33,0.30,0.29,0.27,0.28,0.29,0.30,0.28,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.25,0.25,0.24,0.24,0.22,0.22,0.21,0.21,0.20,0.19
Cuba,0.23,0.20,0.18,0.20,0.21,0.22,0.22,0.23,0.23,0.22,0.21,0.20,0.18,0.17,0.16,0.15,0.13,0.13,0.12,0.14,0.15,0.13,0.13,0.12,0.12,0.12,0.12,0.11
Curaçao,3.17,3.12,3.04,2.88,2.88,2.92,2.83,2.75,2.60,2.50,2.28,2.26,2.14,2.03,2.07,1.89,1.86,1.94,2.13,2.18,2.30,2.53,3.99,4.20,3.85,3.97,3.93,3.79
Cyprus,0.34,0.37,0.36,0.37,0.36,0.33,0.34,0.33,0.34,0.34,0.34,0.32,0.32,0.34,0.32,0.32,0.30,0.30,0.30,0.30,0.28,0.27,0.26,0.24,0.24,0.24,0.26,0.25
Czechia,0.79,0.81,0.78,0.77,0.71,0.67,0.65,0.64,0.62,0.57,0.60,0.58,0.55,0.55,0.53,0.48,0.46,0.44,0.41,0.40,0.41,0.39,0.38,0.37,0.35,0.34,0.33,0.32
Democratic Republic of the Congo,0.07,0.04,0.04,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.06,0.08,0.09,0.06,0.06,0.05
Denmark,0.31,0.37,0.33,0.34,0.34,0.32,0.37,0.31,0.29,0.27,0.24,0.24,0.24,0.26,0.23,0.21,0.24,0.22,0.20,0.20,0.20,0.18,0.16,0.16,0.14,0.13,0.14,0.12
Djibouti,0.65,0.96,0.71,0.56,0.78,0.68,0.81,0.79,0.70,0.64,0.67,0.73,0.75,0.77,0.76,0.71,0.63,0.65,0.44,0.51,0.53,0.57,0.56,0.36,0.34,0.32,0.31,0.31
Dominica,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.12,0.12,0.06,0.10,0.10,0.09,0.09,0.10,0.10,0.17,0.18,0.15,0.17,0.16,0.17
Dominican Republic,0.20,0.21,0.22,0.20,0.23,0.23,0.24,0.25,0.28,0.28,0.28,0.27,0.31,0.26,0.24,0.23,0.23,0.22,0.21,0.20,0.19,0.19,0.19,0.19,0.17,0.17,0.16,0.15
Ecuador,0.21,0.21,0.21,0.20,0.22,0.23,0.27,0.27,0.25,0.22,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.25,0.27,0.26,0.24,0.24,0.25,0.25,0.24,0.22
Egypt,0.27,0.27,0.27,0.26,0.24,0.25,0.25,0.25,0.26,0.26,0.24,0.26,0.26,0.26,0.27,0.29,0.29,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.25
El Salvador,0.11,0.14,0.15,0.15,0.16,0.17,0.15,0.18,0.18,0.18,0.17,0.19,0.18,0.19,0.19,0.19,0.20,0.20,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17
Equatorial Guinea,0.23,0.27,0.18,0.16,1.67,1.51,0.97,0.52,0.50,0.43,0.38,0.31,0.21,0.20,0.16,0.14,0.13,0.13,0.13,0.11,0.14,0.14,0.11,0.08,0.08,0.09,0.09,0.09
Eritrea,0.08,0.07,0.07,0.12,0.14,0.15,0.15,0.15,0.14,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.09,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
Estonia,1.66,1.63,1.55,1.26,1.30,1.15,1.14,1.00,0.91,0.85,0.77,0.75,0.67,0.71,0.68,0.64,0.54,0.61,0.60,0.61,0.73,0.66,0.60,0.66,0.64,0.55,0.43,0.46
Ethiopia,0.08,0.08,0.06,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.08
Falkland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,0.24,0.21,0.20,0.21,0.15,0.16,0.17,0.17,0.17,0.18,0.21,0.24,0.25,0.31,0.36,0.36,0.34,0.31,0.28,0.18,0.19,0.23,0.32,0.30,0.18,0.16,0.18,0.18
